Prompt: <start_of_turn>user
Ola<end_of_turn>
<start_of_turn>model
Tokenizado:11
28070 Token ID: 28070	Token Piece: Olá
236888 Token ID: 236888	Token Piece: !
97662 Token ID: 97662	Token Piece:  Tudo
13694 Token ID: 13694	Token Piece:  bem
236881 Token ID: 236881	Token Piece: ?
2088 Token ID: 2088	Token Piece:  How
740 Token ID: 740	Token Piece:  can
564 Token ID: 564	Token Piece:  I
1601 Token ID: 1601	Token Piece:  help
611 Token ID: 611	Token Piece:  you
3124 Token ID: 3124	Token Piece:  today
236881 Token ID: 236881	Token Piece: ?
103453 Token ID: 103453	Token Piece:  😊
107 Token ID: 107	Token Piece: 

106 Token ID: 106
